Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),0.358475656502193,1.27158441387371,0.0451807228915663,0.0807960139782843,0.0451807228915663,,,ADGRG6;GNAO1;GNAT2;HTR1B;HTR1D;HTR1E;HTR1F;AKAP5;OPRK1;GPR161;GABBR1;GABBR2;GNAL;IAPP;ADCY2;ADCY3;ADCY4;ADCY7;ADCY9;ADCY5;ADCY6;WASF2;ADCY8;GRM8;CACNA1D;ADCY1;CHRM2;ADRB2;GNA14;GNA15;GNA11;GNAQ;MC1R;MC3R;MC4R;MC5R;GNAI1;GNAI2;GNAI3;PRKACB;ADRB3;DRD1;DRD5;GNAZ;GNAT3;GNAS;ADGRE1;ADGRE2;ADGRE3;ADGRE5;UCN3;ADM;CALCRL;RAMP2;ADRA2A;GLP1R;ADRA1B;ADRA1D;GCG;ADCYAP1;ADCYAP1R1;CRHR2;GNA12;GCGR;PF4;CALCA;GNA13;TBXA2R;ADM2;CALCB;CALCR;CRHR1;PTH;PTH1R;PTH2R;PTHLH;RAMP1;RAMP3;PDE2A,GO_Biological_Process_2023
Adherens Junction Organization (GO:0034332),Adherens Junction Organization (GO:0034332),0.575460862469002,1.6982810460056,0.00228385234895336,0.00634570378535945,0.00228385234895336,,,CDH11;CDH8;CDH10;CDH12;CDH13;CDH17;CDH18;CDH3;CDH6;CDH7;CDH9;CTNNB1;CDH15;CDH4;SMAD7;PIP5K1C;CDH1;CDH5;CDH2;VCL;PAK2;CSK;TJP1;RAMP2;FERMT2,GO_Biological_Process_2023
Adherens junction,Adherens junction,0.58460069383681,1.95297544421742,2.7492742236245e-07,2.1239819764221e-06,2.7492742236245e-07,,,LEF1;SNAI1;TCF7;TCF7L1;SNAI2;NLK;TCF7L2;CREBBP;EP300;AFDN;NECTIN1;NECTIN3;NECTIN4;SMAD4;RAC3;CSNK2A3;SMAD3;FGFR1;CTNND1;CSNK2A1;CSNK2A2;CSNK2B;CTNNA1;CTNNB1;ACTB;YES1;RAC2;FYN;PTPRF;TGFBR1;TGFBR2;NECTIN2;CDH1;MAPK1;SRC;MAPK3;PARD3;PTPN6;MET;LMO7;WASF3;INSR;WASF1;FER;IGF1R;ACTG1;WASF2;MAP3K7;WAS;VCL;BAIAP2,GO_Biological_Process_2023
Adipocytokine signaling pathway,Adipocytokine signaling pathway,0.40992251593338,1.37546045200141,0.0320247933884298,0.0607871359148172,0.0320247933884298,,,NFKBIE;PPARGC1A;PPARA;AKT2;AKT3;ADIPOQ;STAT3;CPT1A;MTOR;AGRP;IRS2;IRS4;IRS1;AKT1;PTPN11;RXRB;RXRA;JAK2;ADIPOR1;ADIPOR2;RXRG;RELA;PRKCQ;NFKB1;NFKBIA;TNFRSF1B;PRKAA1;PRKAB1;PRKAG1;PRKAG3;SOCS3;LEP;PRKAA2;CHUK;STK11;PRKAB2;PRKAG2;IKBKG;CAMKK2;TNF;IKBKB;NFKBIB;NPY;MAPK9;MAPK8;CD36;MAPK10;ACSL1;TNFRSF1A,GO_Biological_Process_2023
Adrenergic Receptor Signaling Pathway (GO:0071875),Adrenergic Receptor Signaling Pathway (GO:0071875),0.568393605535999,1.47547115357586,0.0309749168531179,0.0593276185229031,0.0309749168531179,,,DRD2;DRD3;RAPGEF2;ADRB2;ADRA2B;ADRB1;ADRB3;DRD1;DRD5;PDE4D;ADRA2A;ADRA2C;ZDHHC21;ADRA1B;ADRA1D,GO_Biological_Process_2023
Adrenergic signaling in cardiomyocytes,Adrenergic signaling in cardiomyocytes,0.401160119070506,1.42601800621959,0.00261621777279571,0.00719034255560123,0.00261621777279571,,,CREM;ATP1B4;CACNG2;CACNG3;AKT2;AKT3;BCL2;PPP1CA;AKT1;CACNG4;CACNG8;SCN5A;SCN7A;CREB1;MAPK1;PIK3R6;MAPK3;ATF2;CAMK2A;PIK3CG;PIK3R5;CACNA2D3;PRKCA;PLCB1;PLCB3;CAMK2B;CAMK2D;CAMK2G;PPP1CB;PPP2R2A;ADCY2;ADCY3;ADCY4;ADCY7;ADCY9;ADCY5;ADCY6;SCN1B;SCN4B;PLCB2;ADCY8;CACNA1D;ADCY1;CACNA2D2;RAPGEF3;RAPGEF4;KCNQ1;ADRB2;GNAQ;PPP2R5C;PPP2R5E;GNAI1;GNAI2;CALM1;GNAI3;PRKACB;PRKACG;PPP2R5A;MAPK14;ACTC1;PPP2CA;ADRB1;ATP2A1;ATP2A2;ATP2A3;ATF4;PPP2CB;CACNA1C;GNAS;PRKACA;PPP2R5B;CACNB4;MAPK12;CACNB2;PPP2R1A;PPP2R3B;RPS6KA5;MAPK11;PPP2R1B;PPP2R5D;CACNB3;PPP1CC;CACNG6;MAPK13;ADRA1A;ADRA1B;ADRA1D;CACNA1S;ATP2B1;PLCB4;ATP2B2;CACNB1;ATP1A1;ATP1A2;ATP1A3;ATP1A4;FXYD2,GO_Biological_Process_2023
Aerobic Electron Transport Chain (GO:0019646),Aerobic Electron Transport Chain (GO:0019646),-0.810426025648769,-4.40307259231548,3.83328724788797e-31,4.85677494307405e-29,3.83328724788797e-31,,,NDUFAB1;NDUFV2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS2;NDUFC2;NDUFC1;NDUFB9;NDUFB7;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB10;NDUFB1;NDUFAF1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA3;NDUFA10;NDUFA1;NDUFV3;NDUFV1;NDUFS1;NDUFB6;NDUFA2;NDUFS3;NDUFA5;UQCRQ;UQCRC2;COX15;UQCRHL;UQCRH;UQCRFS1;UQCRC1;UQCRB;UQCR11;UQCR10;UQCC3;NDUFB8;SLC25A51;CYC1;SDHD;SDHC;SDHB;SDHA,GO_Biological_Process_2023
Aerobic Respiration (GO:0009060),Aerobic Respiration (GO:0009060),-0.828425201444718,-4.31868456993408,1.37212279072765e-27,1.44873297987661e-25,1.37212279072765e-27,,,OXA1L;NDUFAB1;NDUFV2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS2;NDUFC2;NDUFC1;NDUFB9;NDUFB7;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB11;NDUFB10;NDUFB1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA3;NDUFA12;NDUFA11;NDUFA10;NDUFA1;NDUFV3;NDUFV1;NDUFS1;NDUFB6;NDUFA2;NDUFA13;NDUFS3;NDUFA5;UQCRC2;UQCRH;UQCRC1;UQCRB;MDH2;SURF1;NDUFB8;SLC25A14;SLC25A51,GO_Biological_Process_2023
African trypanosomiasis,African trypanosomiasis,0.425639176646285,1.30580962543755,0.111597374179431,0.1698424901926,0.111597374179431,,,PRKCB;PRKCG;PRKCA;PLCB1;PLCB3;PLCB2;IL10;IL6;IFNG;GNAQ;TLR9;HBA1;IL12A;IL12B;THOP1;TNF;HBB;MYD88;IL1B;PLCB4,GO_Biological_Process_2023
"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",-0.370456799070745,-1.6138837652332,0.0219670542084833,0.04389946006648,0.0219670542084833,,,ALDH4A1;GOT2;GOT1;AGXT2;DDO;AGXT;PPAT;CAD;ADSS2;ADSS1;ADSL;CPS1;ASS1;ASL,GO_Biological_Process_2023
Alcoholism,Alcoholism,0.526404090986726,1.87031778058266,4.73755908391333e-09,5.1523496646508e-08,4.73755908391333e-09,,,HDAC11;HDAC9;HDAC5;HDAC10;HDAC4;HDAC7;GNAO1;HAT1;HDAC8;BDNF;HDAC3;SLC18A2;HDAC1;HDAC2;HDAC6;FOSB;DRD2;GRIN2A;H3C1;H3C15;GRIN2B;GRIN1;GRIN2D;NTRK2;H2BC18;GRIN2C;H3-3A;H2AC1;H2AC11;H2AC12;H2AC21;H2AJ;H2AZ2;H2AB1;CAMK4;PPP1CA;H2AC14;H2AC18;H2AC20;H2AC4;H2AC6;H2AC7;CREB1;H4C1;MAPK1;H2BC1;H2BC11;H2BC12;H2BC13;H2BC14;H2BC17;H2BC3;H2BC4;H2BC5;H2BC9;H2BC15;H2AX;MAPK3;ATF2;H2BC21;CRH;BRAF;PPP1R1B;PPP1CB;GRB2;ADCY5;SHC2;KRAS;GNB2;GNB4;GNG10;GNG11;GNG12;GNG2;GNG3;GNG4;GNG5;GNG7;GNG8;GNGT2;SHC3;CAMKK1;HRAS;GNB3;GNG13;NRAS;GNB5;GNGT1;GNAI1;GNAI2;CALM1;GNAI3;SOS1;PRKACB;PRKACG;GNB1;DRD1;GRIN3A;GRIN3B;ATF4;SOS2;GNAS;PRKACA;CAMKK2;ARAF;NPY;RAF1;MAP2K1;SHC1;PPP1CC,GO_Biological_Process_2023
