gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
ZDHHC9,0.00266600839298939,0.0621942697414396,7.42280444717937e-06,47,0.479,8
ZEB1,0.00923228832387065,0.178368121442125,2.50137525451426e-05,125,0.317,59
ZEB2,0.00454208837324118,0.198518872431916,3.30748781861865e-05,80,0.107,43
ZER1,0.00380153048629968,0.0269993164730007,6.97899083082711e-05,46,0.178,18
ZFAND1,0.000789928412737596,0.325,4.17549376912302e-07,16,1.265,10
ZFAND2A,0.00123426314490249,0.283333333333333,5.30902966468822e-07,25,1.685,8
ZFAND2B,0.00222167366082449,0.288888888888889,1.11520314185999e-05,41,0.969,18
ZFAND3,0.000789928412737596,0.15,1.25998848402379e-05,15,0.378,10
ZFAND4,0.000296223154776598,0,3.14365541174511e-07,6,1.056,6
ZFAND5,0.00162922735127129,0.221590909090909,2.34143044588301e-06,33,0.451,24
ZFAND6,0.000987410515921995,0.189473684210526,6.56995960643244e-07,20,0.63,20
ZFAS1,9.87410515921995e-05,1,0,2,,2
ZFAT,0.000394964206368798,0.214285714285714,1.78397863297379e-07,8,0.629,7
ZFC3H1,0.00938039990125895,0.124087997772208,8.00601882063385e-05,111,0.157,62
ZFHX2,0.000394964206368798,0.142857142857143,3.60255503426195e-07,8,0.277,5
ZFHX3,0.00523327573438657,0.146451033243486,2.52452770953316e-05,81,0.136,40
ZFHX4,0.00360404838311528,0.157914764079148,7.53105444256228e-06,63,0.144,20
ZFP1,0.00232041471241669,0.091581868640148,7.92079111131736e-06,42,0.712,19
ZFP14,0.000394964206368798,0,8.86119097998775e-08,8,0.735,7
ZFP2,0.000740557886941496,0.0571428571428571,1.0073474295966e-06,14,1.743,9
ZFP28,0.000296223154776598,0.2,8.9504510139821e-09,6,0.569,3
ZFP3,0.000197482103184399,0,2.77384091869023e-08,4,0.877,4
ZFP30,0.000592446309553197,0.166666666666667,1.70518020595314e-07,12,0.915,8
ZFP36,0.00863984201431745,0.176223316912972,4.29465941777855e-05,103,0.53,31
ZFP36L1,0.00143174524808689,0.258620689655172,1.10554848749765e-06,29,0.598,16
ZFP36L2,0.010417180942977,0.111532385466035,0.000345618963214649,126,0.285,26
ZFP37,0.000246852628980499,0.3,1.42401879183932e-08,5,1.318,6
ZFP41,0.00271537891878549,0.0558922558922559,8.07493386313221e-06,46,1.823,6
ZFP42,0.000839298938533695,0.25,3.22085608112986e-07,17,,8
ZFP57,0.000740557886941496,0.161904761904762,6.85501552086585e-07,15,1.34,5
ZFP62,0.00325845470254258,0.417715617715618,9.54388514882359e-07,63,0.431,10
ZFP64,0.00246852628980499,0.156734693877551,9.43595099475136e-06,44,0.758,30
ZFP69,4.93705257960997e-05,0,0,1,1.106,1
ZFP69B,0.000641816835349297,0.230769230769231,8.90989108255239e-07,12,1.456,6
ZFP82,0.000592446309553197,0.515151515151515,3.44013871085779e-08,12,0.43,9
ZFP90,0.00153048629967909,0.0580645161290323,2.17262388345768e-06,31,0.521,8
ZFP91,0.00686250308565786,0.197476801167761,2.54495916198475e-05,104,0.172,66
ZFP91-CNTF,0.000296223154776598,0.533333333333333,2.96175069105958e-09,6,,6
ZFP92,9.87410515921995e-05,1,0,2,0.618,2
ZFPL1,0.0223648481856332,0.0741174861786712,0.000327927485207355,124,0.769,32
