pathway,reactome_id,n_genes,density,mean_loeuf,loeuf_variance,insularity,super_pathway,mean_paralog,mean_cds_length,clustering_score,mean_pubmed,regime,residual,mean_tau,mean_pli,complex_fraction
Metal ion SLC transporters,R-HSA-425410,44,0.0179704016913319,0.672795454545455,0.1381391897463,0.006546014632268,Transport & Vesicles,7.70454545454545,1870.90909090909,0.00105708245243129,17.9090909090909,Equilibrium,0.000178437127364481,0.552698129322061,0.342345148826242,0.0227272727272727
IRAK4 deficiency (TLR2/4),R-HSA-5603041,20,0.143790849673203,1.15172222222222,0.332732212418301,0.0232804232804233,Other,15.7777777777778,1381.83333333333,0.065359477124183,46.3888888888889,Equilibrium,7.84737935794975e-05,0.609227159570806,0.176819560867407,0.15
HIV Transcription Initiation,R-HSA-167161,48,0.343085106382979,0.841145833333333,0.295413276152482,0.107934737135685,Other,1.72916666666667,1506.6875,0.00177304964539007,75.1666666666667,Equilibrium,8.69371389311585e-06,0.296874075732552,0.312306256971499,0.979166666666667
RNA Polymerase II HIV Promoter Escape,R-HSA-167162,48,0.343085106382979,0.841145833333333,0.295413276152482,0.107934737135685,Other,1.72916666666667,1506.6875,0.00177304964539007,75.1666666666667,Equilibrium,8.69371389311585e-06,0.296874075732552,0.312306256971499,0.979166666666667
RNA Polymerase II Promoter Escape,R-HSA-73776,48,0.343085106382979,0.841145833333333,0.295413276152482,0.107934737135685,Other,1.72916666666667,1506.6875,0.00177304964539007,75.1666666666667,Equilibrium,8.69371389311585e-06,0.296874075732552,0.312306256971499,0.979166666666667
RNA Polymerase II Transcription Initiation,R-HSA-75953,48,0.343085106382979,0.841145833333333,0.295413276152482,0.107934737135685,Other,1.72916666666667,1506.6875,0.00177304964539007,75.1666666666667,Equilibrium,8.69371389311585e-06,0.296874075732552,0.312306256971499,0.979166666666667
RNA Polymerase II Transcription Initiation And Promoter Clearance,R-HSA-76042,48,0.343085106382979,0.841145833333333,0.295413276152482,0.107934737135685,Other,1.72916666666667,1506.6875,0.00177304964539007,75.1666666666667,Equilibrium,8.69371389311585e-06,0.296874075732552,0.312306256971499,0.979166666666667
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,R-HSA-73779,48,0.343085106382979,0.841145833333333,0.295413276152482,0.107934737135685,Other,1.72916666666667,1506.6875,0.00177304964539007,75.1666666666667,Equilibrium,8.69371389311585e-06,0.296874075732552,0.312306256971499,0.979166666666667
Infection with Enterobacteria,R-HSA-9640148,158,0.0404858299595142,0.735769230769231,0.240295708502024,0.00869691259602841,Other,22.7692307692308,3705,0.0202429149797571,79.7948717948718,Equilibrium,-4.17411092068795e-05,0.473352298308171,0.290990106682583,0.0822784810126582
Transcription-Coupled Nucleotide Excision Repair (TC-NER),R-HSA-6781827,76,0.208070175438596,0.748907894736842,0.251119951403509,0.0436221862586435,Cell Cycle & DNA,4,1598.40789473684,0.00210526315789474,132.197368421053,Equilibrium,-7.46661490714466e-05,0.27819804457634,0.370554477846187,0.881578947368421
Pyroptosis,R-HSA-5620971,27,0.113846153846154,0.915961538461539,0.235643158461538,0.0129574505340571,Other,6.48148148148148,930.888888888889,0.0184615384615385,106.538461538462,Equilibrium,-7.75865836502903e-05,0.43917282717035,0.318869336120163,0.481481481481482
