pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
Phospholipase C-mediated cascade; FGFR2,R-HSA-5654221,18,18,13,0.0849673202614379,0.879722222222222,0.319715035947712,0.0306965761511216,Signal Transduction,Signal Transduction,-1.07074807851076,0.706735163463213,0.17298705875901,Equilibrium
Phospholipase C-mediated cascade; FGFR3,R-HSA-5654227,13,13,6,0.0769230769230769,0.783,0.198346833333333,0.0145102781136638,Signal Transduction,Signal Transduction,-1.11394335230684,0.712319137590497,0.0706808624095027,Equilibrium
Phospholipase C-mediated cascade; FGFR4,R-HSA-5654228,15,15,6,0.0571428571428571,0.769266666666667,0.129639495238095,0.0121457489878543,Signal Transduction,Signal Transduction,-1.24303804868629,0.729007570865762,0.0402590958009047,Equilibrium
Phospholipid metabolism,R-HSA-1483257,212,200,248,0.0124623115577889,0.78518,0.197907866934673,0.0225321400990324,Metabolism,Metabolism,-1.90440139558349,0.814503864632605,-0.0293238646326053,Equilibrium
Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes,R-HSA-9931510,22,21,33,0.157142857142857,0.40052380952381,0.0629371619047619,0.0262738853503185,Circadian clock,Other,-0.803705354856032,0.672213802010396,-0.271689992486586,Topology-Amplified
Phosphorylation and nuclear translocation of the CRY:PER:kinase complex,R-HSA-9931530,14,14,38,0.417582417582418,0.401071428571429,0.0516549945054945,0.0144514166191291,Circadian clock,Other,-0.379257795704283,0.617344276240474,-0.216272847669045,Equilibrium
Phosphorylation of CD3 and TCR zeta chains,R-HSA-202427,29,25,35,0.116666666666667,0.9624,0.237882147368421,0.0366300366300366,Immune System,Immune System,-0.933053210369387,0.688934961876547,0.273465038123453,Equilibrium
"Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters",R-HSA-9931512,11,10,15,0.333333333333333,0.4234,0.0723231555555555,0.0194678780012979,Circadian clock,Other,-0.477121254719662,0.629995359915238,-0.206595359915238,Equilibrium
Phosphorylation of the APC/C,R-HSA-176412,20,20,106,0.557894736842105,0.58905,0.102902260526316,0.0510228640192539,Cell Cycle,Cell Cycle & DNA,-0.253447735688059,0.601080457115276,-0.0120304571152763,Equilibrium
Physiological factors,R-HSA-5578768,14,14,8,0.0879120879120879,0.701071428571429,0.325949763736264,0.00995644057249533,Muscle contraction,Other,-1.05595140532915,0.704822356043445,-0.00375092747201666,Equilibrium
Plasma lipoprotein assembly,R-HSA-8963898,19,19,21,0.12280701754386,0.905111111111111,0.302220692810458,0.016374269005848,Transport of small molecules,Transport & Vesicles,-0.910776815658235,0.68605522988773,0.219055881223381,Equilibrium
"Plasma lipoprotein assembly, remodeling, and clearance",R-HSA-174824,75,74,125,0.046279155868197,0.851150684931507,0.237280351978691,0.0206526228831062,Transport of small molecules,Transport & Vesicles,-1.33461457117939,0.740845924632943,0.110304760298564,Equilibrium
Plasma lipoprotein clearance,R-HSA-8964043,37,37,60,0.0900900900900901,0.774702702702703,0.22056277027027,0.0139178844815588,Transport of small molecules,Transport & Vesicles,-1.04532297878666,0.703448389551018,0.0712543131516846,Equilibrium
Plasma lipoprotein remodeling,R-HSA-8963899,34,33,32,0.0606060606060606,1.01784848484848,0.230762945075758,0.0243716679360244,Transport of small molecules,Transport & Vesicles,-1.21748394421391,0.725704120148135,0.29214436470035,Equilibrium
Platelet Adhesion to exposed collagen,R-HSA-75892,16,16,19,0.158333333333333,0.800375,0.309236116666667,0.0181124880838894,Hemostasis,Other,-0.800427645094796,0.671790083281585,0.128584916718415,Equilibrium
Platelet Aggregation (Plug Formation),R-HSA-76009,39,39,79,0.106612685560054,0.58,0.182714263157895,0.0219688542825362,Hemostasis,Other,-0.972191116688887,0.693994428736647,-0.113994428736647,Equilibrium
"Platelet activation, signaling and aggregation",R-HSA-76002,262,256,1240,0.0379901960784314,0.74683137254902,0.23209001475992,0.0521764743009825,Hemostasis,Other,-1.42032846491959,0.751926399947295,-0.00509502739827561,Equilibrium
Platelet calcium homeostasis,R-HSA-418360,28,28,35,0.0925925925925926,0.712,0.209718740740741,0.019262520638415,Hemostasis,Other,-1.03342375548695,0.701910143599527,0.0100898564004728,Equilibrium
Platelet degranulation,R-HSA-114608,128,124,265,0.0347495410437975,0.821430894308943,0.222626853791817,0.0247213022995476,Hemostasis,Other,-1.45905092700084,0.756932161166157,0.0644987331427863,Equilibrium
Platelet homeostasis,R-HSA-418346,87,84,156,0.044750430292599,0.748865853658537,0.284763450918398,0.0330613542439335,Hemostasis,Other,-1.34920278441951,0.742731783851725,0.00613406980681142,Equilibrium
Platelet sensitization by LDL,R-HSA-432142,17,17,35,0.257352941176471,0.36675,0.0559239333333333,0.0212960146029814,Hemostasis,Other,-0.589470864019942,0.644519108844463,-0.277769108844463,Equilibrium
Polo-like kinase mediated events,R-HSA-156711,16,16,47,0.391666666666667,0.5045,0.116231866666667,0.0221750412833215,Cell Cycle,Cell Cycle & DNA,-0.407083388111907,0.620941368570854,-0.116441368570854,Equilibrium
Polymerase switching,R-HSA-69091,14,14,57,0.626373626373626,0.649142857142857,0.108469516483516,0.0469909315746084,Cell Cycle,Cell Cycle & DNA,-0.203166536648602,0.594580465568731,0.0545623915741259,Equilibrium
Polymerase switching on the C-strand of the telomere,R-HSA-174411,26,25,97,0.323333333333333,0.70684,0.140290473333333,0.0450011598237068,Cell Cycle,Cell Cycle & DNA,-0.490349520453418,0.631705414907709,0.0751345850922911,Buffered
Positive Regulation of CDH1 Gene Transcription,R-HSA-9764790,12,12,10,0.151515151515152,0.25025,0.0205529318181818,0.00804828973843059,Cell-Cell communication,Other,-0.819543935541869,0.674261299733877,-0.424011299733877,Equilibrium
Positive epigenetic regulation of rRNA expression,R-HSA-5250913,75,43,263,0.29125138427464,0.601953488372093,0.255213569213732,0.0310636036142444,Gene expression (Transcription),Other,-0.535732001823748,0.637572135489231,-0.0356186471171378,Equilibrium
