pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
DAP12 interactions,R-HSA-2172127,45,42,121,0.140534262485482,0.794564102564103,0.281774147098516,0.0281985551153577,Immune System,Immune System,-0.852217781137205,0.678485139344308,0.116078963219795,Equilibrium
DAP12 signaling,R-HSA-2424491,29,29,102,0.251231527093596,0.648620689655172,0.249172315270936,0.026060296371998,Immune System,Immune System,-0.599925861815277,0.645870655716595,0.00275003393857776,Equilibrium
DARPP-32 events,R-HSA-180024,24,24,53,0.192028985507246,0.409913043478261,0.0563474466403162,0.0212467428342353,Signal Transduction,Signal Transduction,-0.716633212464429,0.660957742085475,-0.251044698607214,Equilibrium
DCC mediated attractive signaling,R-HSA-418885,14,14,21,0.230769230769231,0.3785,0.0320087307692308,0.00988235294117647,Developmental Biology,Other,-0.636822097587174,0.650640335541224,-0.272140335541224,Equilibrium
DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-168928,86,78,424,0.141192141192141,0.734569230769231,0.278483624038462,0.0339390058432722,Immune System,Immune System,-0.850189475606248,0.678222934602637,0.0563462961665934,Equilibrium
DNA Damage Bypass,R-HSA-73893,48,46,250,0.241545893719807,0.667434782608696,0.210640295652174,0.0204206657137023,DNA Repair,Cell Cycle & DNA,-0.617000341120899,0.648077921519089,0.0193568610896067,Equilibrium
DNA Damage Recognition in GG-NER,R-HSA-5696394,38,38,247,0.351351351351351,0.510631578947368,0.144373806543386,0.0349363507779349,DNA Repair,Cell Cycle & DNA,-0.454258371760158,0.627039810946531,-0.116408231999162,Equilibrium
DNA Damage/Telomere Stress Induced Senescence,R-HSA-2559586,60,27,92,0.262108262108262,0.543555555555556,0.109937871794872,0.020671834625323,Cellular responses to stimuli,Signal Transduction,-0.581519289120269,0.643491186467571,-0.0999356309120155,Equilibrium
DNA Double Strand Break Response,R-HSA-5693606,61,40,170,0.217948717948718,0.534425,0.159320148076923,0.0213166144200627,DNA Repair,Cell Cycle & DNA,-0.661645681312207,0.653849349794067,-0.119424349794067,Equilibrium
DNA Double-Strand Break Repair,R-HSA-5693532,152,129,1188,0.143895348837209,0.752527131782946,0.19527221996124,0.0556831497539255,DNA Repair,Cell Cycle & DNA,-0.841953243637961,0.677158213808544,0.0753689179744016,Equilibrium
DNA Replication,R-HSA-69306,153,123,1483,0.197654271624683,0.627073770491803,0.168547110215418,0.0737957802547771,DNA Replication,Cell Cycle & DNA,-0.704093795421783,0.659336736494263,-0.0322629660024599,Equilibrium
DNA Replication Pre-Initiation,R-HSA-69002,118,89,1123,0.286772216547497,0.573409090909091,0.156271095088819,0.0670087714064085,DNA Replication,Cell Cycle & DNA,-0.542462926869642,0.638442261037836,-0.0650331701287453,Equilibrium
DNA methylation,R-HSA-5334118,33,5,8,0.8,0.849,0.486546666666667,0.0218281036834925,Gene expression (Transcription),Other,-0.0969100130080564,0.580844386902691,0.268155613097309,Equilibrium
DNA strand elongation,R-HSA-69190,32,32,209,0.421370967741936,0.80984375,0.199177039314516,0.0280461621041331,Cell Cycle,Cell Cycle & DNA,-0.375335390379143,0.616837215908927,0.193006534091073,Buffered
DS-GAG biosynthesis,R-HSA-2022923,12,12,1,0.0151515151515152,0.532166666666667,0.0254445151515152,0.00490196078431373,Metabolism,Metabolism,-1.81954393554187,0.803534102903196,-0.27136743623653,Equilibrium
Deactivation of the beta-catenin transactivating complex,R-HSA-3769402,44,44,167,0.176532769556025,0.426790697674419,0.131650217054264,0.0196459031821658,Signal Transduction,Signal Transduction,-0.75317466525421,0.66568155811949,-0.238890860445071,Equilibrium
Deadenylation of mRNA,R-HSA-429947,25,22,85,0.367965367965368,0.252681818181818,0.0256293701298701,0.0346091205211726,Metabolism of RNA,Other,-0.434193054177852,0.624445911096183,-0.371764092914365,Topology-Amplified
Deadenylation-dependent mRNA decay,R-HSA-429914,56,50,250,0.204081632653061,0.65856,0.263421026938776,0.0532141336739038,Metabolism of RNA,Other,-0.690196080028514,0.657540139867726,0.00101986013227418,Equilibrium
Death Receptor Signaling,R-HSA-73887,157,153,939,0.0807533539731682,0.551693333333333,0.124983193914989,0.055081390233172,Signal Transduction,Signal Transduction,-1.09283943083228,0.709590974503616,-0.157897641170283,Equilibrium
Dectin-1 mediated noncanonical NF-kB signaling,R-HSA-5607761,49,48,633,0.561170212765958,0.427063829787234,0.159332234967623,0.0668638428224358,Immune System,Immune System,-0.250905389629968,0.600751800913721,-0.173687971126486,Equilibrium
Dectin-2 family,R-HSA-5621480,30,26,11,0.0338461538461538,0.999678571428571,0.259140374338624,0.0084843810258388,Immune System,Immune System,-1.47049067582065,0.758411009563646,0.241267561864925,Equilibrium
Defective B3GALT6 causes EDSP2 and SEMDJL1,R-HSA-4420332,20,20,6,0.0315789473684211,0.6252,0.0982703789473684,0.00892193308550186,Disease,Other,-1.50060235056919,0.762303630166512,-0.137103630166512,Equilibrium
Defective B3GALTL causes PpS,R-HSA-5083635,38,36,5,0.00793650793650794,0.658942857142857,0.108121231932773,0.0099601593625498,Disease,Other,-2.10037054511756,0.839837345927582,-0.180894488784725,Equilibrium
Defective B3GAT3 causes JDSSDHD,R-HSA-3560801,20,20,6,0.0315789473684211,0.6205,0.0907983684210526,0.00846262341325811,Disease,Other,-1.50060235056919,0.762303630166512,-0.141803630166512,Equilibrium
"Defective B4GALT7 causes EDS, progeroid type",R-HSA-3560783,20,20,6,0.0315789473684211,0.60945,0.0767119447368421,0.0087463556851312,Disease,Other,-1.50060235056919,0.762303630166512,-0.152853630166512,Equilibrium
Defective C1GALT1C1 causes TNPS,R-HSA-5083632,20,18,2,0.0130718954248366,1.01594736842105,0.237211385964912,0.00842105263157895,Disease,Other,-1.88366143515362,0.811822751810215,0.204124616610838,Equilibrium
Defective CFTR causes cystic fibrosis,R-HSA-5678895,48,47,661,0.611470860314524,0.469021276595745,0.125878934320074,0.0708733179649386,Disease,Other,-0.21362423446767,0.5959323614805,-0.126911084884755,Equilibrium
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",R-HSA-3656253,14,14,5,0.054945054945055,0.614428571428571,0.0852667252747253,0.00829187396351576,Disease,Other,-1.26007138798508,0.73120951838425,-0.116780946955678,Equilibrium
Defective EXT2 causes exostoses 2,R-HSA-3656237,14,14,5,0.054945054945055,0.614428571428571,0.0852667252747253,0.00829187396351576,Disease,Other,-1.26007138798508,0.73120951838425,-0.116780946955678,Equilibrium
Defective GALNT12 causes CRCS1,R-HSA-5083636,19,17,2,0.0147058823529412,1.07222222222222,0.21332877124183,0.00829875518672199,Disease,Other,-1.83250891270624,0.805210121844261,0.267012100377962,Equilibrium
Defective GALNT3 causes HFTC,R-HSA-5083625,19,17,0,0,1.06788888888889,0.214870928104575,0,Disease,Other,-6,1.34395337688188,-0.27606448799299,Equilibrium
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,R-HSA-9704331,25,23,86,0.339920948616601,0.985826086956522,0.126849786561265,0.0397687861271676,Disease,Other,-0.46862206993225,0.628896646473115,0.356929440483407,Equilibrium
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,R-HSA-9704646,25,23,86,0.339920948616601,0.985826086956522,0.126849786561265,0.0397687861271676,Disease,Other,-0.46862206993225,0.628896646473115,0.356929440483407,Equilibrium
Defective Intrinsic Pathway for Apoptosis,R-HSA-9734009,25,25,49,0.163333333333333,0.73836,0.194448823333333,0.00802620802620803,Disease,Other,-0.786925174691149,0.670044581082795,0.0683154189172049,Equilibrium
Defective RIPK1-mediated regulated necrosis,R-HSA-9693928,12,7,18,0.857142857142857,0.865428571428572,0.207251285714286,0.0179461615154536,Disease,Other,-0.0669467896306132,0.5769709570247,0.288457614403871,Equilibrium
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),R-HSA-5619107,32,30,219,0.503448275862069,0.491766666666667,0.0835628057471265,0.0665957123308499,Disease,Other,-0.298045142114519,0.606845688858106,-0.11507902219144,Equilibrium
"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",R-HSA-9661069,17,17,77,0.566176470588235,0.429058823529412,0.0839641838235294,0.0487341772151899,Disease,Other,-0.247048183197736,0.600253169025823,-0.171194345496411,Decoupled
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,R-HSA-9701192,25,23,86,0.339920948616601,0.985826086956522,0.126849786561265,0.0397687861271676,Disease,Other,-0.46862206993225,0.628896646473115,0.356929440483407,Equilibrium
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,R-HSA-9701190,41,39,240,0.323886639676113,0.938564102564103,0.158996673414305,0.0282635576753224,Disease,Other,-0.489606966267722,0.631609422846619,0.306954679717484,Equilibrium
Defective homologous recombination repair (HRR) due to PALB2 loss of function,R-HSA-9701193,25,23,86,0.339920948616601,0.985826086956522,0.126849786561265,0.0397687861271676,Disease,Other,-0.46862206993225,0.628896646473115,0.356929440483407,Equilibrium
Defective pyroptosis,R-HSA-9710421,41,12,32,0.484848484848485,0.460333333333333,0.209523696969697,0.0137931034482759,Disease,Other,-0.314393957221963,0.608959146015542,-0.148625812682209,Equilibrium
Defects in cobalamin (B12) metabolism,R-HSA-3296469,14,12,3,0.0454545454545455,0.993833333333333,0.0924523333333333,0.0126582278481013,Disease,Other,-1.34242268082221,0.741855300853923,0.25197803247941,Equilibrium
Defects in vitamin and cofactor metabolism,R-HSA-3296482,22,20,18,0.0947368421052632,0.9178,0.103381747368421,0.0211764705882353,Disease,Other,-1.02348109584952,0.700624828117239,0.217175171882761,Equilibrium
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),R-HSA-9651496,16,16,11,0.0916666666666667,0.8810625,0.259296729166667,0.0300957592339261,Disease,Other,-1.0377885608894,0.70247439422919,0.17858810577081,Equilibrium
Defensins,R-HSA-1461973,49,38,2,0.00284495021337127,1.76146153846154,0.0994476234817814,0.00482509047044632,Immune System,Immune System,-2.54592532935584,0.897435461851566,0.864026076609973,Equilibrium
Degradation of AXIN,R-HSA-4641257,42,41,552,0.673170731707317,0.375634146341463,0.0689300878048781,0.0762430939226519,Signal Transduction,Signal Transduction,-0.171874774654518,0.590535291779649,-0.214901145438185,Equilibrium
Degradation of CDH1,R-HSA-9766229,54,52,597,0.450226244343891,0.390843137254902,0.0900703349019608,0.0608624732388623,Cell-Cell communication,Other,-0.346569192939385,0.613118528929367,-0.222275391674465,Equilibrium
Degradation of CRY and PER proteins,R-HSA-9932298,49,47,632,0.584643848288622,0.405170212765957,0.0767988399629972,0.070610580414502,Circadian clock,Other,-0.233108615670925,0.598451162056664,-0.193280949290707,Equilibrium
Degradation of DVL,R-HSA-4641258,44,43,583,0.64562569213732,0.384976744186047,0.0717617851605759,0.062469863380659,Signal Transduction,Signal Transduction,-0.190019195554492,0.592880871931272,-0.207904127745226,Equilibrium
Degradation of GLI1 by the proteasome,R-HSA-5610780,47,46,595,0.57487922705314,0.382466666666667,0.0763703909090909,0.0660340713611897,Signal Transduction,Signal Transduction,-0.240423384064387,0.599396762671421,-0.216930096004755,Equilibrium
Degradation of GLI2 by the proteasome,R-HSA-5610783,47,46,605,0.584541062801932,0.362977777777778,0.068508294949495,0.0651728966928795,Signal Transduction,Signal Transduction,-0.233184975140468,0.598461033259341,-0.235483255481563,Equilibrium
Degradation of beta-catenin by the destruction complex,R-HSA-195253,72,70,856,0.354451345755694,0.388771428571429,0.0932027296066253,0.0545327132573103,Signal Transduction,Signal Transduction,-0.450443370410378,0.62654663502795,-0.237775206456521,Equilibrium
Degradation of cysteine and homocysteine,R-HSA-1614558,15,13,1,0.0128205128205128,1.141,0.0917175384615385,0.00232018561484919,Metabolism,Metabolism,-1.89209460269048,0.812912931017302,0.328087068982698,Equilibrium
Degradation of the extracellular matrix,R-HSA-1474228,140,139,172,0.0179334793035137,0.762079710144928,0.204730249074368,0.0372213806535382,Extracellular matrix organization,Other,-1.7463354440838,0.794070235996615,-0.0319905258516874,Equilibrium
Dengue Virus Attachment and Entry,R-HSA-9918485,45,44,39,0.0412262156448203,0.658931818181818,0.15743829756871,0.0103174603174603,Disease,Other,-1.38482652937529,0.747336965221548,-0.0884051470397296,Equilibrium
Dengue Virus Genome Translation and Replication,R-HSA-9918487,83,81,445,0.137345679012346,0.578456790123457,0.195402451234568,0.0263852242744063,Disease,Other,-0.862184999225681,0.679773629566405,-0.101316839442948,Equilibrium
Dengue Virus-Host Interactions,R-HSA-9918481,258,225,3585,0.142261904761905,0.488941964285714,0.156951229800609,0.0960726775736624,Disease,Other,-0.846911380777725,0.677799166095099,-0.188857201809385,Equilibrium
Dengue virus activates/modulates innate and adaptive immune responses,R-HSA-9920588,32,28,42,0.111111111111111,0.661107142857143,0.248292691798942,0.00876003754301804,Disease,Other,-0.954242509439325,0.691674161964511,-0.0305670191073683,Equilibrium
Dengue virus modulates apoptosis,R-HSA-9920951,16,15,25,0.238095238095238,0.3894,0.0412516857142857,0.0152299725860493,Disease,Other,-0.6232492903979,0.64888574070899,-0.25948574070899,Equilibrium
Depolymerization of the Nuclear Lamina,R-HSA-4419969,15,15,25,0.238095238095238,0.461,0.068732,0.00946611132146914,Cell Cycle,Cell Cycle & DNA,-0.6232492903979,0.64888574070899,-0.18788574070899,Equilibrium
Deposition of new CENPA-containing nucleosomes at the centromere,R-HSA-606279,53,25,102,0.34,0.78876,0.241856273333333,0.039766081871345,Cell Cycle,Cell Cycle & DNA,-0.468521082957745,0.628883591603837,0.159876408396163,Equilibrium
Depurination,R-HSA-73927,36,10,16,0.355555555555556,0.9225,0.221592055555556,0.0169043845747491,DNA Repair,Cell Cycle & DNA,-0.449092531119419,0.626372008246176,0.296127991753824,Equilibrium
Depyrimidination,R-HSA-73928,41,15,16,0.152380952380952,0.975733333333333,0.188427352380952,0.0136518771331058,DNA Repair,Cell Cycle & DNA,-0.817069316414013,0.673941398782443,0.30179193455089,Equilibrium
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,R-HSA-8862803,22,22,31,0.134199134199134,0.707909090909091,0.190406277056277,0.0069796240009006,Disease,Other,-0.872250286057872,0.681074797409906,0.0268342934991852,Equilibrium
Detoxification of Reactive Oxygen Species,R-HSA-3299685,37,35,56,0.0941176470588235,1.131,0.190849657142857,0.0246424642464246,Cellular responses to stimuli,Signal Transduction,-1.02632893872235,0.700992976748395,0.430007023251605,Equilibrium
Deubiquitination,R-HSA-5688426,269,228,3159,0.122072803153258,0.508800925925926,0.15334183460379,0.0803714540134843,Metabolism of proteins,Other,-0.913381082624446,0.686391890778654,-0.177590964852728,Equilibrium
Developmental Cell Lineages,R-HSA-9734767,32,32,10,0.0201612903225806,0.55515625,0.118392716733871,0.00844951415293621,Developmental Biology,Other,-1.6954816764902,0.787496226908069,-0.232339976908069,Equilibrium
Developmental Cell Lineages of the Exocrine Pancreas,R-HSA-9820448,29,29,10,0.0246305418719212,0.516172413793103,0.100536504926108,0.00881445570736007,Developmental Biology,Other,-1.60852603357719,0.776255227197314,-0.260082813404211,Equilibrium
Developmental Lineage of Pancreatic Ductal Cells,R-HSA-9925563,24,24,6,0.0217391304347826,0.468541666666667,0.0901976503623188,0.00558659217877095,Developmental Biology,Other,-1.66275783168157,0.78326592375918,-0.314724257092513,Equilibrium
Differentiation of T cells,R-HSA-9945266,13,13,3,0.0384615384615385,0.635307692307692,0.141679897435897,0.00400266844563042,Developmental Biology,Other,-1.41497334797082,0.751234128968028,-0.115926436660336,Equilibrium
Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells),R-HSA-9942503,13,13,3,0.0384615384615385,0.635307692307692,0.141679897435897,0.00400266844563042,Developmental Biology,Other,-1.41497334797082,0.751234128968028,-0.115926436660336,Equilibrium
Digestion,R-HSA-8935690,23,22,3,0.012987012987013,1.27308695652174,0.16145581027668,0.0125523012552301,Digestion and absorption,Other,-1.88649072517248,0.812188502061932,0.460898454459807,Equilibrium
Digestion and absorption,R-HSA-8963743,28,27,3,0.00854700854700855,1.23657142857143,0.15080255026455,0.00755667506297229,Digestion and absorption,Other,-2.06818586174616,0.835676741689044,0.400894686882384,Buffered
Digestion of dietary carbohydrate,R-HSA-189085,11,11,2,0.0363636363636364,1.33190909090909,0.237061290909091,0.0186046511627907,Digestion and absorption,Other,-1.43933269383026,0.75438312989065,0.577525961018441,Equilibrium
Dimerization of procaspase-8,R-HSA-69416,11,11,44,0.8,0.711818181818182,0.180279563636364,0.0322698936560323,Programmed Cell Death,Other,-0.0969100130080564,0.580844386902691,0.130973794915491,Equilibrium
Disassembly of the destruction complex and recruitment of AXIN to the membrane,R-HSA-4641262,31,31,97,0.208602150537634,0.504645161290323,0.13375383655914,0.0284666177549523,Signal Transduction,Signal Transduction,-0.680681218623709,0.656310127062159,-0.151664965771837,Equilibrium
Diseases associated with N-glycosylation of proteins,R-HSA-3781860,20,20,4,0.0210526315789474,0.94885,0.0930097131578948,0.00573888091822095,Disease,Other,-1.67669360962487,0.785067440838255,0.163782559161745,Equilibrium
Diseases associated with O-glycosylation of proteins,R-HSA-3906995,71,66,18,0.00839160839160839,0.757061538461539,0.171311339903846,0.0120441619270659,Disease,Other,-2.07615479141744,0.836706907565909,-0.0796453691043708,Equilibrium
Diseases associated with glycosaminoglycan metabolism,R-HSA-3560782,41,41,14,0.0170731707317073,0.781707317073171,0.149245462195122,0.00774122200718828,Disease,Other,-1.76768581670548,0.796830258514129,-0.0151229414409578,Equilibrium
Diseases associated with glycosylation precursor biosynthesis,R-HSA-5609975,16,16,4,0.0333333333333333,1.0459375,0.184544595833333,0.00782013685239492,Disease,Other,-1.47712125471966,0.759268163084557,0.286669336915443,Equilibrium
Diseases associated with surfactant metabolism,R-HSA-5687613,10,9,1,0.0277777777777778,0.9786,0.110804266666667,0.0041407867494824,Disease,Other,-1.55630250076729,0.769504144719573,0.209095855280427,Equilibrium
Diseases associated with the TLR signaling cascade,R-HSA-5602358,35,32,59,0.118951612903226,0.890032258064516,0.370901632258065,0.0221513046743007,Disease,Other,-0.924629664848053,0.68784602653438,0.202186231530136,Equilibrium
Diseases associated with visual transduction,R-HSA-2474795,13,12,2,0.0303030303030303,1.07815384615385,0.212121807692308,0.0163265306122449,Disease,Other,-1.51851393987789,0.764619111525666,0.313534734628181,Equilibrium
Diseases of DNA Double-Strand Break Repair,R-HSA-9675136,41,39,240,0.323886639676113,0.938564102564103,0.158996673414305,0.0282635576753224,Disease,Other,-0.489606966267722,0.631609422846619,0.306954679717484,Equilibrium
Diseases of DNA repair,R-HSA-9675135,51,49,332,0.282312925170068,0.951244897959184,0.15689731377551,0.0360028194979125,Disease,Other,-0.549269238036083,0.639322131961565,0.311922765997619,Equilibrium
Diseases of Immune System,R-HSA-5260271,35,32,59,0.118951612903226,0.890032258064516,0.370901632258065,0.0221513046743007,Disease,Other,-0.924629664848053,0.68784602653438,0.202186231530136,Equilibrium
Diseases of branched-chain amino acid catabolism,R-HSA-9865118,13,13,18,0.230769230769231,0.979307692307692,0.0376352307692308,0.0154639175257732,Disease,Other,-0.636822097587174,0.650640335541224,0.328667356766468,Equilibrium
Diseases of carbohydrate metabolism,R-HSA-5663084,34,33,29,0.0549242424242424,0.952454545454545,0.115549693181818,0.0121976866456362,Disease,Other,-1.26023592463486,0.731230788498191,0.221223756956355,Equilibrium
Diseases of glycosylation,R-HSA-3781865,147,142,74,0.00739186894416142,0.82458865248227,0.163707743870314,0.0164939262231138,Disease,Other,-2.13124574164348,0.843828669130891,-0.0192400166486216,Equilibrium
Diseases of hemostasis,R-HSA-9671793,19,19,13,0.0760233918128655,0.794052631578947,0.269346385964912,0.0281385281385281,Disease,Other,-1.11905275808532,0.712979644798011,0.0810729867809363,Equilibrium
Diseases of metabolism,R-HSA-5668914,273,261,268,0.00789861479516652,0.893859315589354,0.150772128987316,0.0265965364958071,Disease,Other,-2.10244906561633,0.840106042098903,0.053753273490451,Equilibrium
Diseases of mitotic cell cycle,R-HSA-9675126,38,38,222,0.315789473684211,0.503394736842105,0.0999617588904694,0.0576024909185262,Disease,Other,-0.500602350569185,0.633030826997193,-0.129636090155088,Equilibrium
Diseases of programmed cell death,R-HSA-9645723,78,44,142,0.150105708245243,0.68275,0.212083308139535,0.0150615188799321,Disease,Other,-0.823602792018736,0.674785999488304,0.00796400051169599,Equilibrium
Diseases of the neuronal system,R-HSA-9675143,13,12,2,0.0303030303030303,1.07815384615385,0.212121807692308,0.0163265306122449,Disease,Other,-1.51851393987789,0.764619111525666,0.313534734628181,Equilibrium
Disorders of Developmental Biology,R-HSA-9675151,18,18,50,0.326797385620915,0.326777777777778,0.0502759477124183,0.0142694063926941,Disease,Other,-0.48572142648158,0.631107128226638,-0.304329350448861,Equilibrium
Disorders of Nervous System Development,R-HSA-9697154,13,13,31,0.397435897435897,0.328846153846154,0.0256184743589744,0.0122967076556922,Disease,Other,-0.400732908856208,0.620120424316002,-0.291274270469848,Equilibrium
Disorders of transmembrane transporters,R-HSA-5619115,163,159,1051,0.0836716821909084,0.680610062893082,0.168156239391768,0.0657080337605502,Disease,Other,-1.07742149958265,0.707597855311905,-0.0269877924188231,Equilibrium
Dissolution of Fibrin Clot,R-HSA-75205,13,13,16,0.205128205128205,0.965384615384615,0.18426358974359,0.0257441673370877,Hemostasis,Other,-0.687974620034556,0.657252965507178,0.308131649877437,Equilibrium
Dopamine Neurotransmitter Release Cycle,R-HSA-212676,23,22,31,0.134199134199134,0.407333333333333,0.0871360333333333,0.0345019476905954,Neuronal System,Other,-0.872250286057872,0.681074797409906,-0.273741464076572,Equilibrium
Downregulation of ERBB2 signaling,R-HSA-8863795,29,28,83,0.21957671957672,0.581607142857143,0.16762721031746,0.0154476084124325,Signal Transduction,Signal Transduction,-0.658413707461151,0.653431543474571,-0.0718244006174285,Equilibrium
Downregulation of ERBB2:ERBB3 signaling,R-HSA-1358803,13,13,27,0.346153846153846,0.471230769230769,0.141005525641026,0.00989917506874427,Signal Transduction,Signal Transduction,-0.460730838531493,0.627876524869481,-0.156645755638712,Equilibrium
Downregulation of SMAD2/3:SMAD4 transcriptional activity,R-HSA-2173795,31,31,107,0.23010752688172,0.452806451612903,0.116642294623656,0.0177225672877847,Signal Transduction,Signal Transduction,-0.638069175204744,0.650801548760617,-0.197995097147714,Equilibrium
Downregulation of TGF-beta receptor signaling,R-HSA-2173788,26,26,91,0.28,0.498153846153846,0.127727175384615,0.0169019316493314,Signal Transduction,Signal Transduction,-0.552841968657781,0.639783988864001,-0.141630142710154,Equilibrium
Downstream TCR signaling,R-HSA-202424,91,86,807,0.220793433652531,0.521950617283951,0.184602097530864,0.0647205068570054,Immune System,Immune System,-0.656013846571809,0.65312130673019,-0.131170689446239,Equilibrium
Downstream signal transduction,R-HSA-186763,29,29,134,0.330049261083744,0.388103448275862,0.0756940246305419,0.0291811846689896,Signal Transduction,Signal Transduction,-0.481421235212387,0.630551230447106,-0.242447782171243,Equilibrium
Downstream signaling events of B Cell Receptor (BCR),R-HSA-1168372,68,67,737,0.333333333333333,0.399850746268657,0.0888141895070104,0.0586316626889419,Immune System,Immune System,-0.477121254719662,0.629995359915238,-0.230144613646581,Equilibrium
Downstream signaling of activated FGFR1,R-HSA-5654687,31,31,75,0.161290322580645,0.694903225806452,0.273174090322581,0.0233100233100233,Signal Transduction,Signal Transduction,-0.792391689498254,0.670751252775476,0.0241519730309754,Equilibrium
Downstream signaling of activated FGFR2,R-HSA-5654696,30,30,66,0.151724137931034,0.712,0.277023655172414,0.0220809635329542,Signal Transduction,Signal Transduction,-0.818945321412769,0.674183915207392,0.0378160847926081,Equilibrium
Downstream signaling of activated FGFR3,R-HSA-5654708,25,25,58,0.193333333333333,0.62816,0.181755973333333,0.0194696206780799,Signal Transduction,Signal Transduction,-0.713693261156725,0.660577686338747,-0.032417686338747,Equilibrium
Downstream signaling of activated FGFR4,R-HSA-5654716,27,27,61,0.173789173789174,0.632,0.145520076923077,0.0199378983494035,Signal Transduction,Signal Transduction,-0.759977281455057,0.666560951384658,-0.034560951384658,Equilibrium
Drug ADME,R-HSA-9748784,110,107,51,0.00899312290601305,1.19925,0.172625871495327,0.0142021720969089,Drug ADME,Other,-2.04608947118806,0.832820279341675,0.366429720658325,Equilibrium
Dual Incision in GG-NER,R-HSA-5696400,41,41,217,0.264634146341463,0.822585365853658,0.212336298780488,0.022266687188959,DNA Repair,Cell Cycle & DNA,-0.577354118535187,0.642952743190359,0.179632622663299,Equilibrium
Dual incision in TC-NER,R-HSA-6782135,63,63,428,0.219150025601639,0.824746031746032,0.260118805427547,0.0358654208740101,DNA Repair,Cell Cycle & DNA,-0.659258474274682,0.653540748848581,0.171205282897451,Equilibrium
E2F mediated regulation of DNA replication,R-HSA-113510,22,22,51,0.220779220779221,0.607181818181818,0.144168441558442,0.0262210796915167,Cell Cycle,Cell Cycle & DNA,-0.656041803794208,0.653124920838698,-0.0459431026568797,Equilibrium
E3 ubiquitin ligases ubiquitinate target proteins,R-HSA-8866654,57,43,172,0.19047619047619,0.690651162790698,0.212551375415282,0.0288639033394865,Metabolism of proteins,Other,-0.720159303405957,0.661413569745716,0.0292375930449813,Equilibrium
ECM proteoglycans,R-HSA-3000178,76,76,93,0.0326315789473684,0.575315789473684,0.103246512280702,0.0250775246056357,Extracellular matrix organization,Other,-1.48636191145458,0.760462728683804,-0.18514693921012,Equilibrium
EGFR downregulation,R-HSA-182971,31,31,79,0.16989247311828,0.644258064516129,0.158016397849462,0.0155206286836935,Signal Transduction,Signal Transduction,-0.769825861599513,0.667834104947169,-0.0235760404310404,Equilibrium
EGR2 and SOX10-mediated initiation of Schwann cell myelination,R-HSA-9619665,29,27,18,0.0512820512820513,0.481074074074074,0.0717460712250712,0.00761260308733348,Developmental Biology,Other,-1.29003461136252,0.73508294826224,-0.254008874188166,Equilibrium
EML4 and NUDC in mitotic spindle formation,R-HSA-9648025,117,112,659,0.106016731016731,0.678585585585586,0.180523335790336,0.0548481065334998,Cell Cycle,Cell Cycle & DNA,-0.974625591198848,0.694309140080794,-0.0157235544952086,Equilibrium
EPH-Ephrin signaling,R-HSA-2682334,92,92,464,0.110845676063067,0.502380434782609,0.144582480052556,0.041526826867141,Developmental Biology,Other,-0.955281243447787,0.691808442021532,-0.189428007238924,Equilibrium
EPH-ephrin mediated repulsion of cells,R-HSA-3928665,51,51,178,0.139607843137255,0.513921568627451,0.13763843372549,0.0296641946504458,Developmental Biology,Other,-0.85509018246108,0.678856462715273,-0.164934894087822,Equilibrium
EPHA-mediated growth cone collapse,R-HSA-3928663,29,29,88,0.216748768472906,0.599,0.191002357142857,0.0219259997508409,Developmental Biology,Other,-0.664043361427026,0.654159304623613,-0.0551593046236132,Equilibrium
EPHB-mediated forward signaling,R-HSA-3928662,42,42,180,0.209059233449477,0.39752380952381,0.0491084018583043,0.0287884846061575,Developmental Biology,Other,-0.679730646350349,0.656187243919767,-0.258663434395957,Equilibrium
ER Quality Control Compartment (ERQC),R-HSA-901032,21,20,49,0.257894736842105,0.6771,0.128504936842105,0.0177761654271721,Metabolism of proteins,Other,-0.588557520924315,0.644401038422236,0.0326989615777644,Equilibrium
ER to Golgi Anterograde Transport,R-HSA-199977,156,155,764,0.0640134059488898,0.691437908496732,0.205859905658755,0.0518299921983651,Vesicle-mediated transport,Transport & Vesicles,-1.19372906476708,0.722633260293095,-0.0311953517963627,Equilibrium
ER-Phagosome pathway,R-HSA-1236974,85,82,819,0.246612466124661,0.699675,0.255384399367089,0.0735683808668313,Immune System,Immune System,-0.607984973837967,0.646912479718823,0.0527625202811768,Equilibrium
